Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
TREASURY ASSISTANT,Salary not specified,"QUALIFICATIONSCandidate must possess a Bachelor’s Degree in Business Administration, Finance, Accountancy, Banking or equivalentWith at least 1 year related working experienceGood verbal and written communication skillsGood customer service skillsProficient in MS Office applications (i.e. Word, Excel, Google Sheets) and SAP application",TRAVELLERS INTERNATIONAL HOTEL GROUP INC.,"PASAY CITY, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/treasury-assistant-1049148
INFORMATION TECHNOLOGY (IT) SPECIALIST,Salary not specified,"QUALIFICATIONSCandidate must have Bachelor’s Degree in Computer Science/Computer Engineering/ Information Systems/ Information Technology or other similar coursesHas at least three (3) years experience as System Administrator or equivalentHas at least (2) years experience in administration of Google workspaceHas at least (3) years experience in implementation/administration of Linux, MS SCCM, SQL, Printer server, DNS, DHCP, ADD, ISS, File Server, Web Server, VMware Vcenter, Esxi and VM servers, SA, Blade Server/Chassis and Enterprise Server, Avamar backup solutionsHas experience in desktop hardware / software troubleshooting and diagnosisWith Helpdesk Ticketing system experienceMCTS, MCITP, Microsoft Office Specialist or other Microsoft Certification is an added advantageWindows Scripting or VB programmingGood understanding in LAN and WANHas knowledge in organizational policies and procedures and systemPossesses good troubleshooting technique; effective in solving problems and recommending solutionsHas good verbal and written communication skills, ",TRAVELLERS INTERNATIONAL HOTEL GROUP INC.,"PASAY CITY, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/information-technology-it-specialist-1049141
CUSTOMER SERVICE ASSISTANT,Salary not specified,"QUALIFICATIONSMust complete at least two (2) years in CollegePreferably with relevant experience in Hospitality and Gaming industryGood verbal communication skills (knowledge of foreign languages, dialects is a plus)Excellent analytical and critical thinking skillsKnowledge in office applications (GSuite, MS Office, etc.)Strong interpersonal skillsAbility to build good working relationships and deal with different types of individualOrganized and has great attention to detailsFocused and organizedAble to work alone and with a team, ",TRAVELLERS INTERNATIONAL HOTEL GROUP INC.,"PASAY CITY, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),GRADE XII (FOR K TO 12),Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1049138
FORKLIFT OPERATOR,Salary not specified,- At least High School Graduate- With experience in Reach Truck- With Drivers License and NCII Certificate,COMBINED MOVERS INC,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT","MANUFACTURING; TRANSPORT, STORAGE AND COMMUNICATION",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/forklift-operator-1049129
ACCOUNTING ASSISTANT,Salary not specified,"1. Graduate of Accounting, Finance or any four year course.2. Work related experience is an advantage but not required.3. Great attention to details.4. Fresh graduates are welcome to apply.",NORTHERN LUZON MARKET ASSOCIATION CORPORATION,"BAGUIO CITY, BENGUET",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1049128
ELECTRONIC SYSTEMS TECHNICIAN,"₱16,000.00",with knowledge in electronics or electrical trouble shootingwilling to be trainedage should 25 to 30 years old,JOHNYEE CAMPSITE CORP,"CALOOCAN CITY, NCR, THIRD DISTRICT",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),VOCATIONAL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/electronic-systems-technician-1049115
BARTENDER,Salary not specified,"* Duties and Responsibilities- verify identification and age requirement of customer- process payment from customer- clean glasses and bar utensils- makes suggestions on customer taste and preferences- build rapport with regular customers to create a positive atmosphereInterested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, - verify identification and age requirement of customer, - process payment from customer, - clean glasses and bar utensils, - makes suggestions on customer taste and preferences, - build rapport with regular customers to create a positive atmosphere, , Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed., The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark: IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET, DALMANUTHA PHARMACY, , HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., , For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/bartender-1049108
UTILITY WORKER,Salary not specified,"DUTIES AND RESPOSIBILITIES:·        Cleaning assigned work areasInterested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , ·        Cleaning assigned work areas, Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed., The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark: IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET, DALMANUTHA PHARMACY, HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , , , , , , , , , ","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/utility-worker-1049107
HOUSEKEEPER (HOTEL AND RESORTS),Salary not specified,"Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.You may contact 0965-971-3808 and look for Chad/YsaThe office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark:IGLESIA NI CRISTOJOLLIBEECASCO MARKET., HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., You may contact 0965-971-3808 and look for Chad/Ysa, The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark:, IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET.","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Contractual,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/housekeeper-hotel-and-resorts-1049104
WAITRESS,Salary not specified,"Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.You may contact 0965-971-3808 and look for Chad/YsaThe office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark:IGLESIA NI CRISTOJOLLIBEECASCO MARKET., HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., You may contact 0965-971-3808 and look for Chad/Ysa, The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark:, IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET.","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/waitress-1049103
WASHING/LAUNDRY MACHINE OPERATOR,Salary not specified,"QUALIFICATIONSØ  At least 6 month of work experience in a Laundry Operations.Ø  With experience as Laundry/ Linen Attendant in the Hotel Industry is an advantage.Ø  Familiarity with cleaning detergents and laundering equipment.Ø  Outstanding organizational and time management skills.Ø  HRM/HM graduate or any four-year course, College level, High School graduates with relevant experience are welcome to apply.Ø  With NCII Certificate in HousekeepingØ  Attention to detail.Ø  Should be a team player.Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , Ø  At least 6 month of work experience in a Laundry Operations., Ø  With experience as Laundry/ Linen Attendant in the Hotel Industry is an advantage., Ø  Familiarity with cleaning detergents and laundering equipment., Ø  Outstanding organizational and time management skills., Ø  HRM/HM graduate or any four-year course, College level, High School graduates with relevant experience are welcome to apply., Ø  With NCII Certificate in Housekeeping, Ø  Attention to detail., Ø  Should be a team player., , Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed., The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark: IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET, DALMANUTHA PHARMACY, HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , , , , , , , , , , , , , ","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/washing-laundry-machine-operator-1049101
HOTEL CONCIERGE,Salary not specified,"QUALIFICATIONSØ  With proven experience as concierge, experience in customer service or relevant role is an advantage.Ø  Excellent interpersonal, communication and customer service skillsØ  Ability to work well under pressure in a fast-paced environment.Ø  Aptitude in resolving issues with a customer-focused orientation.Ø  HRM/HM graduate or any four-year course, College level with relevant experience are welcome to apply.Ø  Skills in multitasking and good time-management.Ø  Possess a positive attitude and be willing to work as part of a team.Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , Ø  With proven experience as concierge, experience in customer service or relevant role is an advantage., Ø  Excellent interpersonal, communication and customer service skills, Ø  Ability to work well under pressure in a fast-paced environment., Ø  Aptitude in resolving issues with a customer-focused orientation., Ø  HRM/HM graduate or any four-year course, College level with relevant experience are welcome to apply., Ø  Skills in multitasking and good time-management., Ø  Possess a positive attitude and be willing to work as part of a team., , Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed., The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark: IGLESIA NI CRISTO, JOLLIBEE, CASCO MARKET, DALMANUTHA PHARMACY, HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , , , , , , , , , , , , ","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/hotel-concierge-1049100
ROOM ATTENDANT,Salary not specified,"QUALIFICATIONS:Ø  With at least 6 months of work experience in a Hotel Housekeeping Operations.Ø  With experience as a Room Attendant/ Public Area Attendant in the Hotel Industry is an advantage.Ø  Knowledgeable in Housekeeping proceduresØ  Knowledgeable on using Housekeeping Tools & EquipmentØ  Good communication & with High level of customer service skills.Ø  Outstanding organizational and interpersonal skills.Ø  HRM/HM graduate or any four-year course, College level with relevant experience are welcome to apply.Ø  With NCII Certificate in HousekeepingØ  Attention to DetailØ Should be a team player.Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , Ø  With at least 6 months of work experience in a Hotel Housekeeping Operations., Ø  With experience as a Room Attendant/ Public Area Attendant in the Hotel Industry is an advantage., Ø  Knowledgeable in Housekeeping procedures, Ø  Knowledgeable on using Housekeeping Tools & Equipment, Ø  Good communication & with High level of customer service skills., Ø  Outstanding organizational and interpersonal skills., Ø  HRM/HM graduate or any four-year course, College level with relevant experience are welcome to apply., Ø  With NCII Certificate in Housekeeping, Ø  Attention to Detail, Ø Should be a team player., , Interested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed., The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY., Landmark: IGLESIA NI CRISTO, , JOLLIBEE, , CASCO MARKET, , DALMANUTHA PHARMACY, , HERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM., , For more queries, you may contact 0965-971-3808 and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ hrtacebubase1@gmail.com / isabel.hrta@gmail.com, , , , , , , , , ","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/room-attendant-1049099
STEWARD,Salary not specified,"- At least college level with NC IIInterested applicants may bring their UPDATED RESUME / BIODATA, ORIGINAL DIPLOMA, NC II, and other certificates needed.The office address is located at G/F RAFAEL YU BLDG. GENERAL MAXILOM AVENUE CEBU CITY.Landmark: IGLESIA NI CRISTOJOLLIBEECASCO MARKETDALMANUTHA PHARMACYHERE IN HR TEAM ASIA, WE WORK AS ONE. WE WORK AS A TEAM.For more queries, you may contact(phone number)and look for Chad/Ysa or you can email your updated resume with 2x2 ID picture @ (email) / I(email)","HR TEAM ASIA, INC,","CITY OF TALISAY, CEBU",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/steward-1049097
PRODUCTION HELPER,"₱11,310.00","-HIGH SCHOOL GRADUATE-ABLE AND WILLING TO DO HEAVY WORKS WHICH INCLUDE LIFTING- WILLING TO OVERTIME- WILLING TO WORK IN SHIFTING SCHEDULE SET-UP- PHYSICALLY FIT TO WORK- WILLING TO BE ASSIGNED AT MANDAUE CITY- WILLING TO WORK AS SOON AS POSSIBLEApplicants may apply directly at our office from  MONDAY TO FRIDAY 9 AM - 3 PM. Located at GROUND FLR. RAFAEL YU BLDG. GEN. MAXILOM AVE. CEBU CITYLandmark: In front of IGLESIA NI CRISTO besides the Casco Market.Kindly bring your updated resume/biodata, original diploma and other certificates needed or you may send your resume/biodata at hrtacebubase1@gmail.com/isabel.hrta@gmail.com, -ABLE AND WILLING TO DO HEAVY WORKS WHICH INCLUDE LIFTING, - WILLING TO OVERTIME, - WILLING TO WORK IN SHIFTING SCHEDULE SET-UP, - PHYSICALLY FIT TO WORK, - WILLING TO BE ASSIGNED AT MANDAUE CITY, - WILLING TO WORK AS SOON AS POSSIBLE, Applicants may apply directly at our office from  MONDAY TO FRIDAY 9 AM - 3 PM. Located at GROUND FLR. RAFAEL YU BLDG. GEN. MAXILOM AVE. CEBU CITY, Landmark: In front of IGLESIA NI CRISTO besides the Casco Market., Kindly bring your updated resume/biodata, original diploma and other certificates needed or you may send your resume/biodata at hrtacebubase1@gmail.com/isabel.hrta@gmail.com, , , , ","HR TEAM ASIA, INC,","MANDAUE CITY, CEBU",MANUFACTURING,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/production-helper-1049096
CALL CENTER AGENT,"₱35,000.00","Completed at least 1 year in College or have 1 year work experienceAverage to above average English communication skillsComputer literateWilling to work in shifting schedulesWilling to work in Pasay, Average to above average English communication skills, Computer literate, Willing to work in shifting schedules, Willing to work in Pasay",EPERFORMAX CONTACT CENTERS CORP.,"PASAY CITY, NCR, FOURTH DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),1ST YEAR COLLEGE LEVEL,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/call-center-agent-1049085
CALL CENTER AGENT,"₱28,000.00","Completed at least 1 year in College or have 1 year work experienceAverage to above average English communication skillsComputer literateWilling to work in shifting schedulesWilling to work in Cebu, Average to above average English communication skills, Computer literate, Willing to work in shifting schedules, Willing to work in Cebu",EPERFORMAX CONTACT CENTERS CORP.,"CEBU CITY (CAPITAL), CEBU","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),1ST YEAR COLLEGE LEVEL,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/call-center-agent-1049084
ACCOUNTING ANALYST,Salary not specified,"Graduate of Bachelor of Science in Business Administration major in Accounting or a graduate of Bachelor in AccountancyCPA is an advantageAt least 1 year experience in general/branch accounting preferably in banking industry, but fresh graduates are welcome to apply.Must be a computer literate. Good in oral and written communication., CPA is an advantage, At least 1 year experience in general/branch accounting preferably in banking industry, but fresh graduates are welcome to apply., Must be a computer literate. Good in oral and written communication.",PHILIPPINE VETERANS BANK,"CITY OF MAKATI, NCR, FOURTH DISTRICT",FINANCIAL INTERMEDIATION,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-analyst-1049072
CUSTOMER SERVICE ASSISTANT,Salary not specified,"Graduate of any four (4) year business or commerce related courses.Experience as CSA (or new accounts clerk) is an advantage., Experience as CSA (or new accounts clerk) is an advantage.",PHILIPPINE VETERANS BANK,"CITY OF MAKATI, NCR, FOURTH DISTRICT",FINANCIAL INTERMEDIATION,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1049070
SAFETY OFFICER,Salary not specified,With NC2,"PERTSERV, INC.","MALITA, DAVAO OCCIDENTAL","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),VOCATIONAL GRADUATE,Job type not specified,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/safety-officer-1049068
ELECTRICAL TECHNICIAN,Salary not specified,With NC2,"PERTSERV, INC.","MALITA, DAVAO OCCIDENTAL","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),VOCATIONAL GRADUATE,Project-based,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/electrical-technician-1049064
MECHANICAL HELPER,Salary not specified,With NC2,"PERTSERV, INC.","MALITA, DAVAO OCCIDENTAL","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),ELEMENTARY GRADUATE,Project-based,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/mechanical-helper-1049055
MECHANICAL ENGINEERING TECHNICIAN (GENERAL),₱600.00,"A high of technical / vocational graduate major in Mechanical Technology, must have at least 1 yr related work experience.A certified plant mechanic (CPM) licence holder or a TESDA NCII OF III certified is preferred but not required., , A certified plant mechanic (CPM) licence holder or a TESDA NCII OF III certified is preferred but not required., , ","PERTSERV, INC.","LAPU-LAPU CITY (OPON), CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/mechanical-engineering-technician-general-1049040
SALES ASSOCIATE PROFESSIONAL,Salary not specified,"Candidate must be at least College level or has a Vocational Diploma/Short Course Certificate or a Bachelor’s/College Degree.Must have good communication and/or interpersonal skills.Ability to determine a customer's needs and able to offer advice,guidance, and vehicle knowledgeKnowledgeable about vehicles available and able to explain anddemonstrate vehicle features in a professional and clear mannerPreferably with work experience in Automotive Sales and/or Marketing.Driving skills is an advantageFresh graduates are welcome to applyAmenable to work in either Pasig or Mandaluyong City",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),2ND YEAR COLLEGE LEVEL,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-associate-professional-1049016
AUTO SERVICE TECHNICIAN,Salary not specified,•	Graduate of Automotive Course,TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),VOCATIONAL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/auto-service-technician-1049015
SHOP SERVICE ADVISOR,Salary not specified,"•	Should have stayed in the company for  at least 2 years from the date of regularization.•	Has attended various Dealership Seminar, Trainings and Toyoya Service Advisor Program•	Excellent communication skills; Keen to details; Systematic and has Customer Handling Skills•	Must consistently achieve the following ratings: CS Index- 90%, Call Monitoring - 80% Internal Customer Survey - 90%, , •	Should have stayed in the company for  at least 2 years from the date of regularization., •	Has attended various Dealership Seminar, Trainings and Toyoya Service Advisor Program, •	Excellent communication skills; Keen to details; Systematic and has Customer Handling Skills, •	Must consistently achieve the following ratings: CS Index- 90%, Call Monitoring - 80% Internal Customer Survey - 90%, , ",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/shop-service-advisor-1049014
WAREHOUSEMAN,Salary not specified,"•	College level or graduate of any two-year (vocational) course•	At least 2 years experience as stock/ storage clerk•	Knowledgeable on spare parts would be an advantage; Customer-oriented; Hardworking;•	Male, not more than 28 years old, preferably married; At least 5'7"" in height; Weight must be proportion to height; With driver's license (Professional, Restriction Code,R2)•	Residence must be within vicinity of Toyota Shaw Inc. or near TSO, •	At least 2 years experience as stock/ storage clerk, •	Knowledgeable on spare parts would be an advantage; Customer-oriented; Hardworking;, •	Male, not more than 28 years old, preferably married; At least 5'7"" in height; Weight must be proportion to height; With driver's license (Professional, Restriction Code,R2), •	Residence must be within vicinity of Toyota Shaw Inc. or near TSO, ",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),VOCATIONAL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/warehouseman-1049013
ACCOUNTING ASSISTANT,Salary not specified,"Candidate must have a Baccalaureate degree in Accountancy, ManagementAccounting or any related course.CPA is an advantage but not mandatoryProficient in oral and written communication.Good analytical skills and with a keen eye to details.Adequate knowledge of computer and Microsoft Office application(preferably Excel).Willing to learn and be trained.Fresh graduates are welcome to applyAmenable to work in either Pasig or Mandaluyong City",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1049010
AUTOMOTIVE EQUIPMENT INSPECTOR,Salary not specified,"•	College graduate, preferably Mechanical Engineering graduate•	Preferably experienced Technician•	Computer literate, good organizational skills, •	Preferably experienced Technician, •	Computer literate, good organizational skills, ",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/automotive-equipment-inspector-1049009
BILLING CLERK,Salary not specified,"College graduate, preferably secretarial course or administrationAble to drive manual & automatic transmission vehicles.Knowledgeable in the use of personal computer including billing software ; photocopier, fax machine and other general business  office equipment.No experience required but preferred, previous experience in a frontline positionBasic automotive trouble shooting skills,Excellent communication skills (Tagalog & English), computer literate, good organizational skillsHandle stressful situations, can prioritize work to meet goals and objectives within acceptable time frames",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/billing-clerk-1049008
COUNTER CLERK,Salary not specified,"College Graduate, 4 yr. CourseWith experience in the field of sales, Knowledgeable  with spare partsExcellent communication skills; Computer Literate; Systematic and has Customer Handling SkillsPresentable appearance & pleasing personality; HardworkingWith driver's license (Professional, Restriction Code,R2)Residence must be within vicinity of Toyota Shaw Inc. or near TSO",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Job type not specified,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/counter-clerk-1049006
INSURANCE SALESMAN,Salary not specified,"Baccalaureate  Degree preferably related to Sales or any Business CoursesNo experience required but preferredSelling / Marketing Skills and BackgroundComputer Literate in Microsoft OfficesCommunicate clearly, concisely and effectively in verbal and written communicationHardworking and willing to extend time when neededWith good analytical  and thinking skills",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/insurance-salesman-1049005
COMPANY DRIVER,Salary not specified,"Candidate must have at least a High School or Vocational Diploma/Short Course Certificate.At least 5 years driving experience with Professional License.Able to drive manual & automatic transmission.1-2 years of experience as a Company Driver or Personal Driver is an advantage.Has defensive driving skills, customer-service oriented, and has knowledge in Traffic Rules and Regulations.",TOYOTA SHAW INC.,"CITY OF PASIG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),VOCATIONAL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/company-driver-1049004
