Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
The Fall of the House of Usher,1928,"Jean Debucourt, Marguerite Gance, Charles Lamy, Fournez-Goffard, Luc Dartagnan, Abel Gance, Halma, Pierre Hot, Pierre Kefer",Horror,"Horror The Undead And Monster Classics, Chilling Eerie Terrifying Terror Frighten, Death Symbolism Philosophical Thought Provoking Surreal",No-Spoken-Language,Films Jean Epstein,France
Le Plaisir,1952,"Claude Dauphin, Gaby Morlay, Madeleine Renaud, Ginette Leclerc, Mila Parély, Danielle Darrieux, Pierre Brasseur, Jean Gabin, Jean Servais, Daniel Gélin, Simone Simon, Philippe de Chérisey, Paul Azaïs, Antoine Balpêtré, René Blancard, Henri Crémieux, Gaby Bruyère, Mathilde Casadesus, Arthur Devère, Paulette Dubost, Jean Galland, Jocelyne Jany, Robert Lombard, Héléna Manson, Marcel Pérès, Jean Meyer, Louis Seigner, Michel Vadet, Janine Viénot, Charles Vissières, Peter Ustinov, Adolf Wohlbrück","Drama, Comedy, Romance",,French,"Stera Films, Compagnie Commerciale Francaise Cinematographique Ccfc, Ccfc 1",France
Akira,1988,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessyo Genda, Koichi Kitamura, Yuriko Fuchizaki, Masaaki Okura, Takeshi Kusao, Kazuhiro Kamifuji, Tatsuhiko Nakamura, Fukue Itô, Yuka Ôno, Hiroshi Ôtake, Kazumi Tanaka, Masato Hirano, Masayuki Katô, Michihiro Ikemizu, Tarô Arakawa, Masami Toyoshima, Anthony Pulcini, Travis Weaver, Cody Mackenzie, Jamieson Price, Adam Sholder","Animation, Action, Science-Fiction","Humanity And The World Around Us, Future Action Technology Technological Humanity, Destruction Disaster Scientific Mankind Scientist, Anime Graphics Storytelling Emotion Breathtaking, Death Symbolism Philosophical Thought Provoking Surreal, Villain Superhero Action Packed Cool Exciting",Japanese,"Mbs, Sumitomo Corporation, Toho, Studio Fuga, Studio Aoi, Kodansha 1, Bandai Entertainment, Tokyo Movie Shinsha",Japan
All Quiet on the Western Front,2022,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Adrian Grünewald, Edin Hasanović, Daniel Brühl, Thibault de Montalembert, Devid Striesow, Andreas Döhler, Sebastian Hülk, Luc Feit, Michael Wittenborn, Michael Stange, Sascha Nathan, Tobias Langhoff, Anton von Lucke, Michael Pitthan, Joe Weintraub, Charles Morillon, Gabriel Dufay, Dan Brown, Philipp Schenker, Cyril Dobrý, Sebastian Jacques, Gregory Gudgeon, Cyril Čechák, Jakob Schmidt, Felix von Bredow, Martin Dostál, Marek Simbersky, Jakob Diehl, Friedrich Berger, Anthony Paliotti, Radek Brodil, Jonathan Henault, Nico Ehrenteit, Hendrik Heutmann, Daniel-Frantisek Kamen, Tomáš Čapek, Markus Tomczyk, Emil Rothermel, Wolf Danny Homann, Michal Závodský, Nicolas Prokop, Jacob Zacharias Eckstein, Adam Mensdorff, Peter Sikorski, Alžběta Malá, Andrea Zatloukalová, Thomas Zielinski, Tomáš Weber, Samuel Neduha, Martin Němec, Tomáš Merkl","Action, Drama, War","War And Historical Adventure, Humanity And The World Around Us, Epic History And Literature, Fought Army Battlefield Conflict Battle, Fought Army Fighting Heroic Battle, Nazi Hitler Jewish Historical Holocaust, Historical Propaganda Political Patriotism Historic, Duty Heroic Battle Pilot Patriotism","German, French, English, German","Amusement Park Films, Gunpowder Films",Germany
A Room with a View,1986,"Helena Bonham Carter, Julian Sands, Maggie Smith, Denholm Elliott, Daniel Day-Lewis, Simon Callow, Rosemary Leach, Rupert Graves, Patrick Godfrey, Judi Dench, Fabia Drake, Joan Henley, Amanda Walker, Maria Britneva, Mia Fothergill, Peter Cellier, Matyelok Gibbs, Kitty Aldridge, Patricia Lawrence, Freddy Korner, Elizabeth Marangoni, Mirio Guidelli, Lucca Rossi, Isabella Celani, Luigi Di Fiore, Brigid Erin Bates, Peter Munt, Luca Rossi, Stefano Serboli, Phillada Sewell, Margaret Ward, James Wilby","Romance, Drama","Relationship Comedy, Charming Witty Delightful Lovely Charm, Romance Captivating Loves Lover Beauty, Marriage Romance Affair Passionate Passion, Touching Cry Family Sad Tear Jerker, Chemistry Hilarious Romantic Comedy Sweet Or Humorous","English, English, Italian","Curzon Film Distributors, Goldcrest, National Film Finance Corporation Nffc, Film4 Productions",Uk
Kwaidan,1964,"Michiyo Aratama, Misako Watanabe, Rentaro Mikuni, Kenjirō Ishiyama, Ranko Akagi, Fumie Kitahara, Kappei Matsumoto, Yoshiko Ieda, Otome Tsukimiya, Kenzō Tanaka, Kiyoshi Nakano, Tatsuya Nakadai, Keiko Kishi, Yūko Mochizuki, Kin Sugai, Noriko Sengoku, Akiko Nomura, Torahiko Hamada, Jun Hamamura, Katsuo Nakamura, Tetsurō Tamba, Takashi Shimura, Yoichi Hayashi, Eiko Muramatsu, Kunie Tanaka, Kazuo Kitamura, Ichirō Nakatani, Masanori Tomotake, Tokue Hanazawa, Shizue Natsukawa, Shin Tatsuoka, Makiko Kitashiro, Masakazu Kuwayama, Mutsuhiko Tsurumaru, Akira Tani, Yousuke Kondou, Kiyoshi Yamamoto, Kinji Omino, Atsuo Nakamura, Ginzô Sekiguchi, Akio Miyabe, Gen'ya Nagai, Toru Uchida, Hikaru Jinno, Toshio Fukuhara, Kirô Abe, Toshiro Yagi, Yuriko Abe, Yuri Satô, Kyōichi Satō, Nobuo Aikawa, Taiji Kodama, Nobuaki Maeda, Teruhiko Shibata, Haruo Kaji, Michio Gina, Seiji Tabe, Mitsuko Narita, Noriko Mikura, Aiko Nagayama, Michiko Nakahata, Kan'emon Nakamura, Osamu Takizawa, Haruko Sugimura, Noboru Nakaya, Seiji Miyaguchi, Kei Satō, Shigeru Kōyama, Jun Tazaki, Junkichi Orimoto, Akiji Kobayashi, Yoshirō Aoki, Isao Tamagawa, Hideyo Amamoto, Ganjirō Nakamura II","Fantasy, Horror, Drama","Horror The Undead And Monster Classics, Supernatural Chilling Eerie Terrifying Dread, Chilling Eerie Terrifying Terror Frighten, Eerie Blood Gothic Mysterious Bizarre",Japanese,Ninjin Club 1,Japan
Hearts and Minds,1974,"Clark Clifford, John Foster Dulles, Georges Bidault, Harry S. Truman, Dwight D. Eisenhower, John F. Kennedy, Richard Nixon, Lyndon B. Johnson, George Coker, Walt Rostow, J. William Fulbright, Randy Floyd, Charles Hoey, Jerry Holter, J. Edgar Hoover, Joseph McCarthy, Stan Holder, Bobby Muller, Daniel Ellsberg, William C. Westmoreland, Nguyen Van Tai, Vo Thi Tu, Vo Thi Hue, Father Chan Tin, Diem Chau, Hồ Chí Minh, David Emerson, Mui Duc Giang, Edward Sowders, Lora Sowders, Barton Osborn, George Trendell, Thich Lieu Minh, William Marshall, George Patton IV, Duong Van Khai, Nguyen Ngoc Linh, Michael V. Sulsona, I. F. Stone, Eugene McCarthy, Robert F. Kennedy, Kay Dvorshock, Ngo Dinh Diem, Nguyễn Khánh, Maxwell Taylor, Nguyễn Văn Thiệu, Nguyen Thi Sau, Ngô Bá Thành, Mary Cochran Emerson, Bob Hope","War, Documentary","Politics And Human Rights, War And Historical Adventure, Fought Army Battlefield Conflict Battle, Documentary Propaganda Democracy Politician Patriot, Politician Assassination Democracy President Compelling, Historical Propaganda Political Patriotism Historic, Duty Heroic Battle Pilot Patriotism","English, English, French, Vietnamese",Bbs Productions,Usa
Lost Horizon,1937,"Ronald Colman, Jane Wyatt, Edward Everett Horton, John Howard, Thomas Mitchell, Margo, Isabel Jewell, H.B. Warner, Sam Jaffe, John Burton, Milton Owen, John T. Murray, Victor Wong, Carl Stockdale, David Torrence, Wedgwood Nowell, Richard Loo, Margaret McWade, Willie Fung, George Chan, Wyrley Birch, Norman Ainsley, David Clyde, Noble Johnson, Chief John Big Tree, Harold Lishman","Adventure, Fantasy, Drama, Romance","Humanity And The World Around Us, Pilot Exciting Heroic Excitement Crashes, Death Symbolism Philosophical Thought Provoking Surreal, Epic Exciting Breathtaking Spectacle Excitement, Journey Scientific Humanity Breathtaking Documentary, Spiritual Faith Catholic Beliefs Church","English, English, Chinese",Columbia Pictures,Usa
Stray Dog,1949,"Toshirō Mifune, Takashi Shimura, Keiko Awaji, Eiko Miyoshi, Noriko Sengoku, Noriko Honma, Reikichi Kawamura, Chōko Iida, Eijirō Tōno, Yasushi Nagata, Kappei Matsumoto, Isao Kimura, Teruko Kishi, Minoru Chiaki, Ichirō Sugai, Gen Shimizu, Kan Yanagiya, Reizaburo Yamamoto, Hajime Izu, Masao Shimizu, Kokuten Kōdō, Yūnosuke Itō, Akira Ubukata, Fujio Nagahama, Isao Ubukata, Shiro Mizutani, Eizo Tanaka, Kazuko Motohashi, Haruko Tōgō, Haruko Toda, Haruko Toyama, Mie Asô, Rikie Sanjō, Ishirō Honda","Drama, Thriller, Crime","Thrillers And Murder Mysteries, Murderer Clues Suspects Suspense Intriguing, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Thriller Cops Suspense Killer Twist, Drugs Gritty Cops Violence Powerful, Guns Action Violence Cops Killing",Japanese,"Film Art Association, Shintoho Company",Japan
Bring Me the Head of Alfredo Garcia,1974,"Warren Oates, Isela Vega, Robert Webber, Gig Young, Helmut Dantine, Emilio Fernández, Kris Kristofferson, Chano Urueta, Donnie Fritts, Jorge Russek, Chalo González, Don Levy, Enrique Lucero, Janine Maldonado, Tamara Garina, Farnesio de Bernal, Ahui Camacho, Mónica Miguel, Paco Pharrez, Juan Manuel Díaz, René Dupeyrón, Yolanda Ponce, Juan Jose Palacios, Manolo, Nery Ruiz, Roberto Dumont, Armando Acosta, Richard Bright, Queta Carrasco, Conrad Hool, Whitey Hughes, Cecilia Leger, Antonio Leo, Velia Lupercio, Rubén Márquez, Sharon Peckinpah, Garner Simmons","Crime, Drama, Action","Westerns, Humanity And The World Around Us, Crime Drugs And Gangsters, Intense Violence And Sexual Transgression, Guns Action Violence Cops Killing, Frontier Guns Wild Showdown Gunfight, Murder Crime Drama Gripping Compelling, Brutal Graphic Brutality Revenge Violence, Ruthless Underworld Gritty Stylish Violence","English, English, Latin, Spanish","Optimus Films, Estudios Churubusco Azteca, United Artists","Usa, Mexico"
La Chienne,1931,"Michel Simon, Janie Marèse, Georges Flamant, Magdeleine Bérubet, Roger Gaillard, Jean Gehret, Alexandre Rignault, Lucien Mancini, Marcel Courmes, Max Dalban, Henri Guisol, Romain Bouquet, Pierre Desty, Jane Pierson, Christian Argentin, Sylvain Itkine, Colette Borelli, Mlle Doryans, Agnès Capri, Adèle Legrand, Olga Nilza, Viviane Romance","Crime, Drama",,French,Les Etablissements Braunberger Richebe,France
Gigi,1958,"Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans, John Abbott, Corinne Marchand, Marie-Hélène Arnaud, Anne-Marie Mersen, Jack Ary, Daniel Aubé, Richard Bean, Cecil Beaton, Jacques Bertrand, Paul Cristo, Hubert de Lapparent, Cilly Feindt, Edwin Jerome, Maurice Marsac, Bernard Musson, Dorothy Neumann, Jean Ozenne, Maruja Plose, Roger Saget, Pat Sheehan, Marilyn Simms, Lydia Stevens, Jack Trevan, François Valorbe, Monique van Vooren, Betty Wand, Leroy Winebrenner","Romance, Comedy","Song And Dance, Musical Lyrics Broadway Tune Vocals, Charming Witty Delightful Lovely Charm, Romance Captivating Loves Lover Beauty, Comedy Funny Hilarious Broadway Musical, Chemistry Hilarious Romantic Comedy Sweet Or Humorous","English, English, French","Arthur Freed Production, Metro Goldwyn Mayer 1",Usa
Ride the High Country,1962,"Randolph Scott, Joel McCrea, Mariette Hartley, Ron Starr, Edgar Buchanan, R. G. Armstrong, Jenie Jackson, James Drury, L.Q. Jones, John Anderson, John Davis Chandler, Warren Oates, Alice Allyn, Oscar Blank, Chet Brandenburg, Don Brodie, Chris Carter, Byron Foulger, Frank Hagney, Percy Helton, Victor Izay, Don Kennedy, Jack Kenny, Donald Kerr, Mina Martinez, Charles McQuary, Michael T. Mikler, Spec O'Donnell, Carmen Phillips, Myrna Ross, Wayne Tucker, Chalky Williams",Western,"Westerns, Frontier Guns Wild Showdown Gunfight, Wild Guns Frontier Sheriff Hero","English, English, French",Metro Goldwyn Mayer 1,Usa
Punishment Park,1971,"Carmen Argenziano, Kent Foreman, Luke Johnson, Katherine Quittner, Scott Turner, Mary Ellen Kleinhall, Stan Armsted, Patrick Boland, Jim Bohan, Van Daniels, Mark Keats, Sanford Golden, Gladys Golden, George Gregory, Sigmund Rich, Peter Watkins","Drama, Thriller","Politics And Human Rights, Documentary Propaganda Democracy Politician Patriot, Politician Assassination Democracy President Compelling, Prison Jail Convicts Brutal Brutality, Historical Propaganda Political Patriotism Historic, Fought Army Battlefield Conflict Battle",English,"Churchill Films, Francoise Films, Chartwell",Usa
Kit Kat,1991,"Mahmoud Abdel Aziz, Sherif Mounir, Aaidah Riyadh, Nagah El-Mogui, Ahmed Kamal, Ahmed Sami Abdallah, Amina Rizk, Ali Hassanein, Othman Abdel Monem, Galeela Mahmoud, Gehan Nasr, Amal Ibrahim, Salah Sadeq, Nadia Shams El Dine, Mohamed Gibreel, Helmy Abdel Wahab, Ali Idris","Drama, Comedy",,Arabic,"Studio Misr, Egyptian General Company For International Film Production",Egypt
Life Is Beautiful,1997,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Marisa Paredes, Horst Buchholz, Lidia Alfonsi, Giuliana Lojodice, Amerigo Fontani, Pietro De Silva, Francesco Guzzo, Raffaella Lebboroni, Claudio Alfonsi, Gil Baroni, Massimo Bianchi, Jürgen Bohn, Verena Buratti, Robert Camero, Ennio Consalvi, Giancarlo Cosentino, Aaron Craig, Alfiero Falomi, Daniela Fedke, Antonio Fommei, Stefano Frangipani, Ernst Frowein Holger, Alessandra Grassi, Hannes Hellmann, Wolfgang Hillinger, Margarita Lucia Krauss, Patrizia Lazzarini, Maria Letizia, Concetta Lombardo, Maria Rita Macellari, Carlotta Mangione, Franco Mescolini, Francesca Messinese, Inger Lise Middelthon, Andrea Nardi, Günther Pfanzelter, Cristiana Porchiella, Antonio Prester, Gina Rovere, Laura Susanne Ruedeberg, Massimo Salvianti, Richard Sammel, James Schindler, Andrea Tidona, Dirk K. van den Berg, Giovanna Villa, Omero Antonutti, Adelaide Alaïs, Daniela Fedtke","Comedy, Drama","Humanity And The World Around Us, Crude Humor And Satire, Moving Relationship Stories, Relationship Comedy, War And Historical Adventure, Touching Cry Family Sad Tear Jerker, Quirky Humor Relationships Endearing Humorous, Family Touching Kids Cry Tear Jerker, Family Moving Heartbreaking Sadness Sad, Sad Depressing Illness Heartbreaking Touching","Italian, German, Czech, English, Italian","Mario E Vittorio Cecchi Gori Ceiad, Melampo Cinematografica",Italy
The Ghost and Mrs. Muir,1947,"Gene Tierney, Rex Harrison, George Sanders, Edna Best, Vanessa Brown, Anna Lee, Robert Coote, Natalie Wood, Isobel Elsom, Victoria Horne, Stuart Holmes, Houseley Stevenson, Helen Freeman, Whitford Kane, Buster Slaven, Will Stanton, William Stelling, David Thursby, Heather Wilde","Fantasy, Romance, Drama","Relationship Comedy, Moving Relationship Stories, Charming Witty Delightful Lovely Charm, Marriage Romance Affair Passionate Passion, Touching Cry Family Sad Tear Jerker, Romance Captivating Loves Lover Beauty, Family Moving Heartbreaking Sadness Sad",English,20Th Century Fox,Usa
The Promised Land,1975,"Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn, Kalina Jędrusik, Anna Nehrebecka, Bożena Dykiel, Andrzej Szalawski, Stanisław Igar, Franciszek Pieczka, Kazimierz Opaliński, Andrzej Łapicki, Wojciech Siemion, Tadeusz Białoszczyński, Zbigniew Zapasiewicz, Jerzy Nowak, Piotr Fronczewski, Jerzy Zelnik, Maciej Góraj, Grażyna Michalska, Włodzimierz Boruński, Danuta Wodyńska, Marian Glinka, Jadwiga Andrzejewska, Aleksander Dzwonkowski, Kazimierz Wichniarz, Zdzisław Kuźniar, Halina Gryglaszewska, Jerzy Obłamski, Marek Walczewski, Lidia Korsakówna, Emilia Krakowska, Bernard Ładysz, Bogusław Sochnacki, Bohdana Majda, Kazimierz Kaczor, Teodor Gendera, Jerzy Przybylski, Mieczysław Waśkowski, Jan Paweł Kruk, Alicja Sobieraj, Krzysztof Majchrzak, Janina Grzegorczyk, Janina Tur-Kiryłow, Ryszard Bromowicz, Witold Dederko, Tomasz Lengren, Jerzy Braszka, Antoni Byszewski, Mariola Kukuła, Jerzy Stasiuk, Lena Wilczyńska, Zofia Wilczyńska, Andrzej Wohl, Bolesław Płotnicki","History, Drama",,"Polish, Polish, Russian, German, Yiddish","Zespo Filmowy X, Wff Lodz",Poland
The Cow,1969,"Ezzatollah Entezami, Mahin Shahabi, Ali Nasirian, Jamshid Mashayekhi, Firouz Behjat-Mohamadi, Jafar Vali, Khosrow Shojazadeh, Ezatallah Ramezanifar, Esmat Safavi, Mahmoud Dowlatabadi, Parviz Fannizadeh, Mahtaj Nojoomi",Drama,,Persianfarsi,Central Film Office Of The Iranian Ministry Of Culture,Iran
Harold and Maude,1971,"Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack, Charles Tyner, Ellen Geer, Eric Christmas, G. Wood, Judy Engles, Shari Summers, Tom Skerritt, Susan Madigan, Ray K. Goman, Gordon Devol, Harvey Brumfield, Henry Dieckoff, Philip Schultz, Sonia Sorel, Margot Jones, Barry Higgins, Hal Ashby","Drama, Comedy, Romance","Relationship Comedy, Crude Humor And Satire, Moving Relationship Stories, Intense Violence And Sexual Transgression, Song And Dance, Quirky Humor Relationships Endearing Humorous, Touching Cry Family Sad Tear Jerker, Charming Witty Delightful Lovely Charm, Gag Chuckles Slapstick Amusing Jokes, Chemistry Hilarious Romantic Comedy Sweet Or Humorous",English,Paramount 1,Usa
Giant,1956,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Judith Evelyn, Earl Holliman, Robert Nichols, Paul Fix, Alexander Scourby, Charles Watts, Elsa Cárdenas, Carolyn Craig, Monte Hale, Sheb Wooley, Mary Ann Edwards, Victor Millan, Mickey Simpson, Pilar Del Rey, Maurice Jara, Noreen Nash, Ray Whitley, Napoleon Whiting, Fran Bennett, Elsa Aguirre, Barbara Barrie, Bert Stevens, Bess Flowers, Harold Miller, Claudia Bryar, Marion Gray, Dana Dillaway, Highland Dale, Tom Ferrandini, Charles Fogel, Rudy Germane, Dick Gordon, Herschel Graham, Sam Harris","Drama, Western","Epic History And Literature, Marriage Drama Family Dramas Melodrama, Family Moving Heartbreaking Sadness Sad, Marriage Romance Affair Passionate Passion","English, English, Spanish","Warner Bros Pictures 1, George Stevens Jr Productions",Usa
Fat City,1972,"Stacy Keach, Jeff Bridges, Susan Tyrrell, Candy Clark, Nicholas Colasanto, Art Aragon, Curtis Cokes, Sixto Rodriguez, Billy Walker, Wayne Mahan, Ruben Navarro, Al Silvani, Álvaro López, Carl D. Parker, Bill Riddle",Drama,"Moving Relationship Stories, Boxing Fighting Champion Fighter Underdog","English, English, Spanish","Columbia Pictures, Rastar Productions",Usa
The Long Good Friday,1980,"Bob Hoskins, Helen Mirren, Dave King, Bryan Marshall, Derek Thompson, Eddie Constantine, Paul Freeman, P.H. Moriarty, Alan Ford, Stephen Davies, Paul Barber, Karl Howman, Nick Stringer, Brian Hall, Paul Kember, Patti Love, Leo Dolan, Pierce Brosnan, Daragh O'Malley, Kevin McNally, Tony Rohr, Ruby Head, Charles Cork, Olivier Pierre, Bruce Alexander, Bill Moody, Dexter Fletcher, Trevor Laird, Dave Ould, Nigel Humphreys, Brian Hayes, Alan Devlin, Pauline Melville, Mary Sheen, Georgie Phillips, Billy Cornelius, Gillian Taylforth, Rob Walker, Robert Hamilton, James Ottaway, Michael Ryan, Roy Alon, Harry Fielder, Alan Talbot, Tony Clarkin, Peter McNamara, Jill Goldston","Crime, Drama, Mystery, Thriller","Crime Drugs And Gangsters, Thrillers And Murder Mysteries, Ruthless Underworld Gritty Stylish Violence, Drugs Gritty Cops Violence Powerful, Guns Action Violence Cops Killing, Brutal Graphic Brutality Revenge Violence, Terrorism Thriller Gripping Intense Political","English, French, English","Calendar Productions, Handmade Films, Black Lion Films",Uk
Nanook of the North,1922,"Allakariallak, Alice Nevalinga, Cunayou, Allegoo, Allee, Berry Kroeger","Documentary, Drama","Humanity And The World Around Us, Journey Scientific Humanity Breathtaking Documentary",No-Spoken-Language,Les Freres Revillon,"Usa, France"
The Red and the White,1967,"József Madaras, Tibor Molnár, András Kozák, Juhász Jácint, Anatoli Yabbarov, Sergey Nikonenko, Mikhail Kozakov, Tatyana Konyukhova, Krystyna Mikołajewska, Viktor Avdyushko, Gleb Strizhenov, Nikita Mikhalkov, Vladimir Prokofyev, Valentin Bryleev, Bolot Beyshenaliev","Drama, War","War And Historical Adventure, Fought Army Battlefield Conflict Battle, Historical Propaganda Political Patriotism Historic, Fought Army Fighting Heroic Battle, Death Symbolism Philosophical Thought Provoking Surreal, Nazi Hitler Jewish Historical Holocaust","Hungarian, Hungarian, Russian","Mafilm, Mosfilm 1","Hungary, Ussr"
French Cancan,1955,"Jean Gabin, Françoise Arnoul, María Félix, Anna Amendola, Jean-Roger Caussimon, Dora Doll, Giani Esposito, Gaston Gabaroche, Jacques Jouanneau, Jean Parédès, Franco Pastorino, Michèle Philippe, Michel Piccoli, Albert Rémy, France Roche, Jean-Marc Tennberg, Valentine Tessier, Philippe Clay, Édith Piaf, Patachou, Cora Vaucaire, André Claveau, Mario Juillard, Jean Raymond, Martine Alexis, Claude Arnay, Robert Auboyneau, Bruno Balp, Maurice Barnay, Laurence Bataille, Claude Berri, Dorothée Blanck, Geneviève Bujold, Léo Campion, Jaque Catelain, René-Jean Chauffard, Jacques Ciron, Max Dalban, Sylvine Delannoy, Hubert Deschamps, Valentino Garavani, Henri-Roland Hercé, Jacques Hilling, Corinne Jansen, Jedlinska, Lydia Johnson, François Joux, Maïa Jusanova, Ursula Vian-Kübler, Palmyre Levasseur, Jacques Marin, Paul Mercey, Anne-Marie Mersen, Gaston Modot, Pierre Moncorbier, Annik Morice, Jean Mortier, Michèle Nadal, André Numès, Pierre Olaf, René Pascal, André Philip, Pâquerette, Jean Sylvère, Rosy Varte","Music, Comedy, Drama, Romance","Song And Dance, Musical Lyrics Broadway Tune Vocals, Dancing Choreography Catchy Tune Lyrics, Comedy Funny Hilarious Broadway Musical, Romance Captivating Loves Lover Beauty, Charming Witty Delightful Lovely Charm",French,"Jolly Film, Franco London Films","France, Italy"
Walking the Streets of Moscow,1964,"Nikita Mikhalkov, Aleksei Loktev, Galina Polskikh, Evgeniy Steblov, Rolan Bykov, Vladimir Basov, Mariya Vinogradova, Irina Miroshnichenko, Lyubov Sokolova, Lev Durov, Irina Skobtseva, Oleg Vidov, Inna Churikova, Gennadiy Yalovich, Nikolai Bogolyubov, Pyotr Dolzhanov, Arina Aleynikova, Valentina Ananina, Alevtina Rumyantseva, Danuta Stolyarskaya, Boris Balakin, Boris Bityukov, Georgiy Daneliya, Igor Bogolyubov, Vladimir Volkov, Konstantin Novikov, Arkady Smirnov, Viktor Shkuryn, Ekaterina Melnikova, Svetlana Besedina, Irina Titova, Anna Pavlova, Veronika Vasilyeva, Vladimir Babenko, Yevgeniy Kazakov, Uno Masaaki, Vadim Shilov, Vladimir Shurupov","Romance, Comedy",,"Russian, English, Russian",Mosfilm 1,Ussr
The Lovers on the Bridge,1991,"Juliette Binoche, Denis Lavant, Klaus-Michael Grüber, Édith Scob, Georges Aperghis, Daniel Buain, Marion Stalens, Chrichan Larsson, Paulette Berthonnier, Roger Berthonnier, Michel Vandestien, Georges Castorp, Marc Desclozeaux, Alain Dahan, Pierre Pessemesse, Maître Bitoun, Johnny Aldama, Jean-Louis Airola, Albert Prévost, Marc Maurette, Marie Trintignant, Leos Carax","Drama, Romance","Humanity And The World Around Us, Romance Captivating Loves Lover Beauty, Powerful Complexity Intellectual Poetic Emotional, Marriage Romance Affair Passionate Passion, Death Symbolism Philosophical Thought Provoking Surreal",French,"Les Films Christian Fechner, Films A2 2, Gaumont International",France
Dr. Jekyll and Mr. Hyde,1931,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert, Halliwell Hobbes, Edgar Norton, Tempe Pigott, Leonard Carey, Sam Harris, Boyd Irwin, Arnold Lucy, Murdock MacQuarrie, Eric Mayne, Robert Adair, Pat Harmon, John Rogers, G.L. McDonnell, Douglas Walton, Harry Adams, William Begg, Rita Carlyle, Frank Goddard, Bobby Hale, Tom London, William Marion, Eric Wilton","Drama, Horror, Science-Fiction","Horror The Undead And Monster Classics, Intense Violence And Sexual Transgression, Scientist Monster Doctor Experiment Creature, Chilling Eerie Terrifying Terror Frighten, Sexuality Sex Disturbed Unconventional Or Challenging, Brutal Graphic Brutality Revenge Violence, Supernatural Chilling Eerie Terrifying Dread",English,Paramount 1,Usa
Night and the City,1950,"Richard Widmark, Francis L. Sullivan, Gene Tierney, Googie Withers, Stanislaus Zbyszko, Herbert Lom, Hugh Marlowe, Mike Mazurki, Charles Farrell, Ada Reeve, Ken Richmond, Alan Tilvern, Derek Blomfield, Clifford Buckton, Ernest Butcher, Peter Butterworth, Naomi Chance, Edward Chapman, Clifford Cobbe, Patricia Davidson, Maureen Delaney, Aubrey Dexter, Stanley Escane, Thomas Gallagher, Rex Garner, James Hayter, George Hirste, Hamilton Keene, Kay Kendall, Hubert Leslie, Arthur Lovegrove, Jack Mandeville, John Mann, Lew Marco, Gibb McLaughlin, MacDonald Parke, Frank Pettitt, Charles Paton, Chunky Pattison, Philip Ray, Eddy Reed, John Rudling, Harold Sanderson, Johnnie Schofield, Betty Shale, John Sharp, Leonard Sharp, Ray St. Bernard, Tony Sympson, Harry Terry, C. Denier Warren, Freddie Watts, Brian Weske, Russell Westwood","Drama, Crime","Crime Drugs And Gangsters, Ruthless Underworld Gritty Stylish Violence, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Drugs Gritty Cops Violence Powerful",English,20Th Century Fox,Uk
Becket,1964,"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi, Paolo Stoppa, Donald Wolfit, David Weston, Martita Hunt, Pamela Brown, Percy Herbert, Siân Phillips, Inigo Jackson, Felix Aylmer, Niall MacGinnis, Christopher Rhodes, John Phillips, Frank Pettingell, Véronique Vendell, Jennifer Hilary, David Davenport, Hamilton Dyce, Peter Jeffrey, Michael Miller, Peter Prowse, Jack Taylor, Chris Adcock, Michael Anthony, Geoffrey Bayldon, Roy Beck, Garrett Cassell, Dave Clark, George Lane Cooper, Ian Cullen, Ivor Dean, Guy Deghy, John Doye, Paul Farrell, Patrick Halpin, Laurie Heath, Laurence Hepworth, Rose Howlett, Magda Konopka, Gerald Lawson, Wilfrid Lawson, Paul Layton, Tutte Lemkow, Linda Marlowe, John Moulder-Brown, Patrick Newell, Riggs O'Hara, Frederick Piper, Dido Plumb, Steve Plytas, Robert Rietti, Alex Scott, Terence Soall, Victor Spinetti, Graham Stark, Fred Stroud, Elizabeth Taylor, Royston Tickner, Fred Wood, Edward Woodward","Drama, History","Epic History And Literature, Moving Relationship Stories, Royalty Sumptuous Lavish Drama Kings, Shakespearean Breathtaking Kings Captivating Tragic, Fought Army Fighting Heroic Battle, Powerful Complexity Intellectual Poetic Emotional, Spiritual Faith Catholic Beliefs Church","English, Welsh, English, Latin","Paramount 1, Keep Films","Uk, Usa"
